id,title,description,buttonText,splashImage
1,Fitness Assessment,Get Started On Your Fitness Goals With Our Physical Assessment And Vital Scan,Start,https://images.unsplash.com/photo-1598970434795-0c54fe7c0642
2,Health Risk Assessment,"Identify And Mitigate Health Risks With Precise, Proactive Assessments",Start,https://images.unsplash.com/photo-1612832021571-8a0b6d45e1e1
3,Nutrition Analysis,Track Your Daily Nutrients And Get Personalized Meal Plans,Start,https://images.unsplash.com/photo-1611078489935-1f09d3a72720
4,Sleep Monitoring,Understand Your Sleep Cycle With Daily Reports,Track,https://images.unsplash.com/photo-1601048885524-3ba4f6ec06cb
5,Mental Wellbeing,Assess And Improve Your Mental Health With Guided Journals,Begin,https://images.unsplash.com/photo-1607746882042-944635dfe10e
6,Cardio Fitness,Measure Your Cardio Strength With Targeted Workouts,Go,https://images.unsplash.com/photo-1554284126-aa88f22d8b74
7,Body Composition,"Check Your Body Fat, Muscle Ratio And More",Analyze,https://images.unsplash.com/photo-1605296867304-46d5465a13f1
8,Hydration Level,Monitor Your Daily Water Intake And Stay Hydrated,Start,https://images.unsplash.com/photo-1588776814546-bd5aa6ca3b5d
9,Lung Capacity Test,Measure Your Respiratory Efficiency,Test,https://images.unsplash.com/photo-1588776814106-d0f3d5cbd443
10,Posture Analysis,Identify And Correct Posture Imbalances,Scan,https://images.unsplash.com/photo-1618354691245-7fa2a429af49
